label,text
neutral,6 October 2010 - Finnish paints and coatings company Tikkurila Oyj HEL : TIK1V announced today the launch of Tikkurila ProHouse method for protection of wooden surfaces via treatment with Ultra Pro waterborne products .
neutral,Aspokem posted an operating profit of 2.7 mln euro ( $ 3.5 mln ) and net sales of 89.1 mln euro ( $ 116.8 mln ) in 2006 .
neutral,"In 2008 , Kemira recorded revenue of approximately EUR 2.8 billion and had a staff of 9,400 ."
neutral,"So far the company has awarded more than $ 350,000 worth of tools and materials ."
positive,"Operating profit surged to EUR21m from EUR106 ,000 ."
neutral,Latvia 's Stockmann shopping mall is a subsidiary of Finland 's Stockmann Plc. .
positive,"Finnish telecoms software developer Tecnomen Oyj said on December 5 , 2006 it won a $ 3.3 mln ( 2.5 mln euro ) order to supply an expansion of the charging and messaging systems for the mobile and fixed networks of Brasil Telecom ."
negative,"As production of other products will continue normally , temporary lay-offs concern simultaneously at most 80 employees ."
neutral,"According to the company , a decision in the issue will be made in the summer of 2010 , at the earliest , and in the summer of 2011 , at the latest ."
negative,"Operating loss totalled EUR 5.2 mn , compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 ."
neutral,"However , the offering will probably not be made at the current valuation , which partly derives from the deal in which the company was merged into a stock market shell ."
neutral,The expansion is to be finalized in the autumn of 2009 .
positive,`` It allows the young child to move forward with his life . ''
neutral,Rimi supermarket is the key customer in Magistral center .
neutral,"Currently , YIT builds a housing estate Zapadnye Vorota 26,000 square metres in the city and a house 9,910 square metres , which will be completed at the end of 2009 ."
negative,"Operating loss totaled EUR 0.8 mn , compared to a profit of EUR 0.5 mn ."
neutral,The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .
neutral,"According to Tyrv+Æinen 's estimation , Japan is a very essential location in terms of Finnair 's Asian strategy ."
positive,"Finnish Ahlstrom Corporation will double its investments in a new specialty glassfiber reinforcement plant in South Carolina , in the US ."
neutral,"The connectivity unit has more than 100 e-invoice customers , and the number of annual transactions stands at nearly one million ."
neutral,`` Serving customers locally is one of the cornerstones of customer focus for us .
neutral,"The fixed-term contract of Mr. Jarmo Ukonaho , the current General Manager of Incap 's Indian operations , will finish by the end of the year ."
neutral,At CapMan Haavisto will be responsible for Group Finances and Accounting and IT .
neutral,The electricity requirement of networks will grow with the new mobile generation .
positive,`` The lowering of prices by us and by our competitors shows that the real estate market has stabilised and returned into balance and apartments are acquiring a fair price in the eyes of our clients .
neutral,"Price talk is in the mid-market swaps plus 105 bps area and the leads are Barclays , BNPP , UBS and CBA ."
negative,"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 ."
neutral,The value of the confirmed aircraft orders totals EUR 2bn .
neutral,"Okmetic has a global customer base and sales network , production plants in Finland and the US and contract manufacturers in Japan and China ."
positive,"International sales rose by 59.8 % to EUR 1,244.4 mn ."
neutral,"Cardona slowed her vehicle , turned around and returned to the intersection , where she called 911 ."
negative,"National Conciliator Juhani Salonius , who met both parties on Wednesday , said they were too far apart in their views for him to propose mediation ."
neutral,"LONDON AFX - UK and European brokers ' recommendations issued today , as collated by AFX News from a range of market sources ."
positive,"` The stable outlook reflects Nokia 's strong market position in the global mobile handset market , strong cash flow generation , and very conservative balance sheet , ' said Raab ."
neutral,The company 's net sales in 2009 totalled MEUR 307.8 with an operating margin of 13.5 per cent .
positive,"Metsaliitto , however , narrowed its net loss for the second quarter of 2007 to 5.0 mln euro $ 6.9 mln from 61 mln euro $ 83.7 mln a year ago ."
negative,"Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 ."
negative,"In 2009 , Comptel slipped to a net loss of EUR2 .1 m from a profit of EUR6 .6 m in the previous year ."
neutral,Stock Exchange Release 10/3/2011 12:00 Sanoma has published its Annual Report and Financial Statements for 2010 and its first Corporate Responsibility Report .
neutral,"Poyry is a global consulting and engineering firm focusing on the energy , forest industry and infrastructure & environment sectors ."
neutral,Nordea Pankki Suomi Oyj 's ownership in Stonesoft Corporation has decreased below 1-20 .
positive,"Earnings per share EPS are seen at EUR 0.56 , up from EUR 0.38 ."
positive,The divestment of Raisio 's margarine business in May 2009 gave the company a clearer focus on grain-based products .
positive,Cargo volume increased by approximately 5 % .
negative,Finland-based Stockmann Group has closed seven franchising sports stores Nike in Russia .
neutral,"Paper company M-real calculated that if 100,000 biscuit cartons are made using a 25gsm lighter board , the CO2 saved over the course of 12 months would be equal to that generated by driving 1,000 km by car ."
negative,"Outokumpu 's steel mill in Tornio , in Finland , is the suspected source ."
neutral,The value of the deal is estimated at between SEK25m and SEK50m .
neutral,The value of the order is EUR 4mn .
neutral,Le Lay succeeds Walter G++nter and will be based in Finland .
positive,"According to A-Rehu 's Managing Director , Jouko Lahtinen , the project will stabilise costs and improve supply security ."
neutral,"Nurminen Logistics provides high-quality logistics services , such as railway transports , terminal services , forwarding , special and heavy transports and medical transports ."
positive,Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .
positive,"There are companies , which are ready to invest their own funds in this deal such as Rostelecom RTS : RTKM ."
negative,"( ADPnews ) - Feb 3 , 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR 46 million ( USD 64.5 m ) in the fourth quarter of 2009 from a"
neutral,The acquisition is part of Ramirent 's Central and Eastern European growth strategy .
neutral,Autotank Group is part of Aspo 's Systems Division .
neutral,"It is a member of the OneWorld alliance , which includes American Airlines and British Airways ."
neutral,"The contract also includes cutting and edging wagon parts at Ruukki 's steel service centres in Seinajoki and Raahe , from where they will be delivered to VR for welding and assembly ."
neutral,`` Lemminkainen Talo Oy 's Lahti office is a significant logistics and business premises constructor .
neutral,"Following the registration , the share capital of Biotie is EUR 52,556,678.10 ."
negative,30 November 2009 - Finnish office furniture maker Martela Oyj HEL : MARAS said today that it will make redundant three people and other nine will be laid off permanently from the company 's office staff and factory workers .
neutral,"It s an area that is highly valued , because most of the land there has already been built on ."
negative,"Operating result for the 12-month period decreased from the profit of EUR0 .4 m while turnover decreased from EUR5 .6 m , as compared to 2004 ."
neutral,Results are expected late in 2006 .
positive,Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .
neutral,The plant would use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .
positive,"London 's leading shares today jumped almost 100 points , or 1.7 % , as the market opened ."
neutral,"Simultaneously with this merger plan another merger plan has been signed , according to which Suomen Projektivuokraus Oy , a subsidiary of VTM-Rakennuskonevuokraamo Oy , would be merged with VTM-Rakennuskonevuokraamo Oy ."
neutral,Why not give your bedroom a cool makeover for summer .
neutral,"`` Of course , we are in talks with all those coming up with new projects that involve material handling , '' Konecranes President and CEO Pekka Lundmark said , when asked whether it was talking to Reliance Industries for supplying equipment to its upcoming refinery in Jamnagar ."
positive,"The Basware Connectivity services allow companies to handle purchase to pay processes online and make their internal processes more efficient , '' said CEO Ilkka Sihvo , Basware Corporation ."
neutral,"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia ."
neutral,"A In August 2007 , Latvijas Finieris ordered all production lines for a new green veneer mill to be built in Ukmerge , central Lithuania ."
positive,Swiss franc surged to record 1.42 euros after it reported sharpest gain in manufacturing in March .
positive,The company will use the assets for strengthening its balance sheet and financial position .
positive,"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % ."
positive,Finnish operator Elisa and Aker Yards have signed a long-term service deal through which Elisa will deliver all necessary voice and data services for Aker Yards in Finland .
neutral,"In the second quarter of 2009 , net sales through operator business partners represented 47 % of the Group 's total net sales ."
neutral,"Neste Oil extended yesterday 's gains and put on 0.49 pct to 22.72 eur , while utility Fortum shed 1.14 pct to 20.76 eur ."
positive,"Previously , the company anticipated its operating profit to improve over the same period ."
neutral,Niam offer financial investors a high return via investments in funds that in turn invest in all types of properties .
neutral,The arrangements do not apply to the group 's units outside Finland .
neutral,Finnish department store group Stockmann is planning to acquire about EUR 141mn through a directed issue and a rights offering .
neutral,"Neste Oil s refineries have a combined crude oil refining capacity of approximately 260,000 barrels a day ."
neutral,"In Penttil+Æ 's vision , the most important reason for the transaction is Russia ."
neutral,"According to its notice , Skandinaviska Enskilda Banken AB publ Helsinki Branch has on 10 August 2009 divested in total 11,958,000 Alma Media shares to Ilkka-Yhtyma Oyj and Kaleva Kustannus Oy , as the conditions of the agreement made by the companies on 1 July 2009 fulfilled ."
neutral,"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 ."
positive,"Furthermore , Bunge will also sign a licensing agreement for the Sunnuntai and Carlshamn Mejeri brands ."
negative,Possible personnel reductions concern approximately 104 people .
positive,The company is well positioned in Brazil and Uruguay .
negative,"The OMX Helsinki index was 0.33 pct lower at 9,364.80 , while the OMX Helsinki CAP portfolio index was down 0.34 pct at 5,029.25 ."
neutral,Viking Line and STX Finland said on Monday that there were plans to build a 240 million euro ferry that would be launched on the Turku-Stockholm route in spring 2013 .
positive,Componenta increased its stake in Turkish steel company Doktas Dokumculuk Ticaret ve Sanayi A.S. to 92.6 pct stake in March 2007 .
neutral,Dutch publisher De Vijver said today it has agreed to buy a 49 % stake in Belgian weekly magazine Humo from Finnish media company Sanoma HEL : SAA1V .
positive,`` I warmly welcome Michael Frei to Outotec .
neutral,"In addition , the existing service counter area in the reception hall will be rebuilt and access provided to local rail connections ."
neutral,"The Group 's consolidated net sales for 2008 totaled 3.4 billion euros and it employs approximately 13,000 persons ."
neutral,NetCom expects to complete Turbo 3G deployment in these areas this year .
positive,"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year ."
neutral,"After the restructuring , UPM 's average paper machine capacity in Europe will be 320,000 tons ( 350,000 short tons ) in coated magazine paper and 420,000 tons ( 460,000 short tons ) in coated fine paper ."
negative,The fair value of the company 's investment properties went down to EUR2 .769 bn at the end of September 2009 from EUR2 .878 bn a year earlier .
neutral,- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .
positive,"As part of the transaction , M-real and Sappi have also signed a long-term agreement on the supply of pulp and BCTMP and other smaller services and supplies ."
neutral,"Swedish , Finnish and Danish listed companies are organized in three market cap segments , Nordic Large Cap , Mid Cap and Small Cap ."
neutral,"The Russian government will contribute 20 % of the necessary funds , he said ."
neutral,The value of the total investment is about EUR 600mn .
positive,Finnish Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+¦rbindelsen bridge in Gothenburg in Sweden .
positive,8 May 2009 - Finnish liquid handling products and diagnostic test systems maker Biohit Oyj ( HEL : BIOBV ) said today ( 8 May 2009 ) its net loss narrowed to EUR0 .1 m ( USD0 .14 m ) for the first quarter of 2009 from EUR0 .4 m for the same period of 2008 .
neutral,The non-recurring costs caused to Talentum 's Premedia business area by the restructuring will amount to 2.0 mln euro $ 2.7 mln and will be included in the company 's financial results for the second quarter of 2007 .
neutral,The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .
neutral,"According to Mark White , Locatrix Communications ' CEO , the company 's web services interface allows device owners , friends , and family to track and locate TWIG users via any web browser ."
positive,Cash flow from operations rose to EUR 52.7 mn from EUR 15.6 mn in 2007 .
positive,The company 's market share is continued to increase further .
positive,"ADPnews - Jun 30 , 2009 - Finnish stainless steel maker Outokumpu Oyj HEL : OUT1V said yesterday it signed a three-year EUR 900 million USD 1.3 bn revolving credit facility ."
neutral,The value of the three-year contract is estimated at EUR40m .
neutral,"Amer Sports divests an industrial site in Rumilly , France -  This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients ."
negative,The Finnish company previously said its operating result will be lower than the break-even posted a year earlier .
positive,"Thanks to his wide contact network and good knowledge of market and business environment , he will give a great contribution to the further development of our Indian operations '' , tells Incap 's President & CEO Juhani Hanninen ."
neutral,No pricing details were disclosed .
neutral,The service also enables users to watch e-mails in HTML format en is enhanced with 23 addition languages to choose from .
negative,RISING costs have forced packaging producer Huhtamaki to axe 90 jobs at its Hampshire manufacturing plant .
neutral,Export accounts for about one tenth of the company 's annual turnover of one billion kroons .
neutral,"`` Subscribers can browse free numbers with their handset , and select the numbers , packages and services they prefer when activating the phone ."
neutral,"Rapala VMC Corporation Rapala , a leading fishing tackle and sporting goods manufacturer and distributor , is the main owner of Peltonen with its 80 % shareholding ."
negative,"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007 ."
neutral,Rapala VMC Corporation ( Rapala ) is a Finland-based company engaged in the manufacture and distribution of fishing equipment and accessories .
positive,"In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth ."
neutral,The dividends payable annually shall be deducted from the share subscription price .
positive,"The company 's operating income ( EBIT ) totalled EUR 0.0 mn , up from EUR -0.3 mn year-on-year ."
positive,"Having a China based operation will not only enable us to fully leverage our resources and expertise in wireless solutions , but also strengthen our capability to offer industry-leading products for our customers in China . ''"
neutral,"As the world leaders in developing UV technology for municipal wastewater , drinking water , and industrial water treatment systems , Trojan Technologies was a logical partner in providing W+Ærtsil+Æ with UV technology for ballast water treatment ."
positive,SysOpen Digia had signed an agreement with the main shareholders of Sentera holding in total 77.39 % of the share capital and votes of Sentera .
neutral,The Oxyview Pulse Oximeter is a common device to check patient blood-oxygen saturation level and pulse rate .
positive,The 2015 target for net sales has been set at EUR 1bn and the target for return on investment at over 20 % .
neutral,"The remainder of its revenues will come from technology agreements with other firms , InterDigital said ."
positive,"`` After this purchase , Cramo will become the second largest rental services provider in the Latvian market ."
neutral,"The scheme for TeliaSonera and Altimo is practically identical , except that it involves the merger of their stakes in VimpelCom and Kyivstar ."
negative,"Operating profit before non-recurring items was EUR 8.3 mn in the first nine months of 2008 , compared to EUR 8.4 in the corresponding period in 2007 ."
positive,"We aim to ensure that Vacon is in good shape when capital expenditure starts to pick up again , '' comments Vacon Plc President and CEO Vesa Laisi ."
positive,The training modules aim at strengthening the public accounting abilities and fulfilling communal project management .
positive,"To ensure low operational cost for radio networks , the BTS modules can be configured , software upgraded and diagnosed remotely ."
positive,"Finland 's leading metals group Outokumpu said its fourth-quarter net profit more than tripled on the back of strong global demand for stainless steel , soaring base metal prices and proceeds from the sale of its technology unit ."
neutral,"Glaston 's own glass processing unit , Tamglass Glass Processing , is a manufacturer of high quality safety glass products , and operates in Finland ."
positive,"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 ."
neutral,"Founded in 1946 , Strand Associates , which provides civil , environmental , transportation , electrical and mechanical engineering services , has 350 employees at 10 offices in Wisconsin , Alabama , Illinois , Indiana , Kentucky and Ohio ."
neutral,"Because expenditures must be justified to pass budget approval hurdles , we believe our RoP model can help make it easier for IT and IT security practitioners to make the business case for acquiring enabling security technologies and related control activities ."
negative,"Operating profit excluding non-recurring items decreased to EUR 6.2 mn from EUR 16.8 mn in 2007 , representing 2.3 % of net sales ."
negative,Finnish technology company Raute Corporation ( OMX Helsinki : RUTAV ) issued on Tuesday ( 23 September ) a profit warning for the financial year 2008 .
positive,Finland 's Poyry Energy has won a contract to advise builders of a new cogeneration power plant in Lithuania 's second-biggest city of Kaunas and to supervise the construction process .
negative,"HELSINKI AFX - Kesko Corp is expected to report a lower second quarter EPS today due to tax charges , but other earnings lines are seen higher year-on-year , analysts said ."
neutral,"Tecnomen 's system features a new range of value-added services for prepaid and post-paid billing , charging and rating of voice calls , data traffic , or any kind of content services in both mobile and fixed networks ."
neutral,"According to Ultrascan , with a software acquired from crackers , it has managed to change the mobile phone in a way that the phone was able to get hold of a one-time password sent by a bank via a text message ."
neutral,"As part of the reorganisation , Pohjola Insurance 's 250 field staff for private customers will join the payroll of local cooperative banks from the beginning of October 2008 ."
neutral,The total value of the deal is USD 29mn .
positive,The volumes are expected to increase during the next few years .
positive,"The shopping center to be opened in St. Petersburg , Russia in November 2010 will turn the cash flow of Finnish department store chain Stockmann 's Russian operations positive for the first time in 2011 ."
neutral,The Remote Radio head module will be available at 4W power for 2.5 GHz and 3.5 GHz TDD frequency bands .
negative,Finnish developer and manufacturer of mobile phone chargers Salcomp Plc OMX Helsinki : SAL1V on Wednesday 19 November lowered its full-year net sales estimate .
positive,Finnish elevators and escalators maker KONE Corporation said on Tuesday ( 18 March ) that it has received a major order from Sir Robert McAlpine to supply all elevators and escalators for the Watermark Place project in the City of London .
neutral,Currency conversions are based on exchange rates at the time of the deal .
neutral,"`` Method and System for Controlling a Hard Disk Drive Using a Multimediacard Physical Interface '' was invented by Marko Ahvenainen Ruutana , Finland ."
positive,The cooperation will double The Switch 's converter capacity .
neutral,The total amount of subscription prices was recorded in the fund for invested non-restricted equity .
neutral,The newspapers of Alma Media and Arena Partners will enter a cooperation agreement on using Alma 's marketplace services in their respective regions .
neutral,"According to Finnish FIM Bank , Alpro 's price would be around EUR 100mn-150mn ."
negative,"Finnish financial software solutions developer BasWare Oyj said its net profit fell to 884,000 euro ( $ 1.2 mln ) for the first quarter of 2007 from 2.0 mln euro ( $ 2.7 mln ) a year earlier ."
negative,UPM stock fell 3 percent to EURO 12.49 $ 17.24 in early afternoon trading in Helsinki .
positive,"In 2007 , Marimekko has also opened concept stores in Yokohama and Nagoya , central Japan , in Silver Spring in metropolitan Washington DC , USA , in Graz , central Austria , and in Aalborg , northern Denmark ."
negative,"ADPnews - Aug 3 , 2009 - Finnish media group Ilkka-Yhtyma Oyj HEL : ILK2S said today its net profit fell 45 % on the year to EUR 5.9 million USD 8.4 m in the first half of 2009 ."
negative,"Stora Enso Oyj , the largest papermaker , in October said it would close four mills ."
positive,"` Our strategic cooperation with Rentakran brings us new customers and already-working relationships with the authorities of the new territories , ' said Jarmo Laasanen , a senior manager at Cramo ."
positive,"In banking , Sampo A was unchanged at 14.24 eur and Nordea rose 0.42 pct to 9.51 eur ."
positive,"This truly takes efficiency to new heights , '' Mr. Metso adds ."
positive,Operating profit rose to EUR 9.2 mn from EUR 6.8 mn in the corresponding period in 2007 .
neutral,"For 24-hour news , try ICIS news www.icis.com Click `` trial '' , then ICIS news"
neutral,"Master of Mayawas jointly developed by Nokia Siemens Networks and UFA - FremantleMedia , and will be actively advertised by Maxis in the end of May 2007 ."
neutral,The writing and publication of Lemmink+Æinen - s history is a continuation of earlier collaboration between Antti Tuuri and the company .
neutral,"Product coverage : baked goods ; biscuits ; breakfast cereals Data coverage : market sizes historic and forecasts , company shares , brand shares and distribution data ."
neutral,"When this investment is in place , Atria plans to expand into the Moscow market ."
positive,Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009 .
negative,"Operating profit for the 12-month period decreased from EUR17 .9 m while net sales increased from EUR58 .3 m , as compared to 2007 ."
positive,Ramirent is a leading company in machinery and equipment rentals for construction and industry .
positive,"We can choose the most efficient , best overall value option for our customers already at the bidding stage ."
positive,"The Ministry of Water in Tanzania has awarded Poyry a water and sanitation engineering assignment for the rehabilitation and extension of water supply and sanitation infrastructure in Bukoba and Musoma , situated at Lake Victoria in northern Tanzania ."
neutral,The increase range will vary up to 10 % .
neutral,The chain is to unite 45-50 centres by the end of 2008 .
neutral,"Finnish bank Pohjola Bank Plc HEL : POH1S said today that it will issue a EUR 40 million USD 51.2 m index-linked bond , Pohjola Tutkimuksen Tahdet VIII-2010 Pohjola Research Stars VIII-2010 , on October 27 , 2010 ."
neutral,"Neste Oil said that while results from its biomass to 3 liquids demonstration plant , commissioned in June 2009 , have been promising , no decision on a commercial plant has been taken ."
positive,Raute Corporation has received orders worth over EUR 12 million from OOO Ilim Bratsk DOK in Russia .
negative,The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .
positive,"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 ."
neutral,"The business goals for 2009 will realize with the temporary lay-offs carried out in the summer of 2009 , and with other savings measures ."
neutral,It has several innovative small molecule and biological drug candidates at different stages of clinical development .
neutral,"In 2006 , 452 million tonnes CO2 of EUA ( EU Allowance ; emissions credit in EU ) was traded with an underlying market value approx ."
neutral,Our tools are specifically designed with the needs of both the business users and ICT experts in mind .
neutral,It inspects the companys strategic strengths and weaknesses .
neutral,"Veidekke , headquartered in Oslo , Norway , is a Scandinavian construction and property development group with some 6,350 employees in Norway , Sweden and Denmark , with an annual turnover of NOK16 .4 bn ."
neutral,"The company has a continuous need for alloys such as nickel , ferro-chrome , molybdenum and manganese in its production , said Talvivaara ."
negative,"Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago ."
neutral,"The Annual General Meeting approved a dividend of EUR 0.10 per share , that is , a total of EUR 7,8 million ."
neutral,A spokeswoman for the Italian fashion house declined comment on the settlement .
positive,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems ."
positive,A new Kveyt light variety of Suomalainen Pekoni marketed under the Atria brand name is now available to consumers in Finland .
neutral,Its other well-known brands include fitness equipment maker Precor and U.S. - based ball sports equipment maker Wilson .
neutral,"This could be any of us at any time , '' she said ."
neutral,Satama and Trainers ' House will remain as names and independent brands of the business areas .
neutral,The Board of Directors was authorized to decide on other terms of the share issue .
neutral,An Apple spokeswoman said the company declined to comment .
neutral,One of the headboxes will be equipped with a modern consistency control system to ensure cross machine profile of the plasterboard .
negative,EPS dropped to EUR0 .2 from EUR0 .3 .
neutral,The order also includes extensive maintenance work of a shoe press delivered by Vaahto in 2001 .
negative,Operating profit fell to EUR 15.1 mn from EUR 24.6 mn in 2006 .
positive,Self-service and automation are in a bigger role now and Fujitsu 's global resources will be exploited effectively .
neutral,Central Europe is an important market area for Honka .
neutral,"The challenge for the company , however , is finding new sources of raw material , said Risto Rinne , CEO of Neste Oil ."
neutral,"It is profitable to make pulp , paper , and sawn goods in areas where the combination of these factors is good ."
neutral,"Cargotec 's sales totalled EUR 3.4 billion in 2008 and it employs approximately 11,000 people ."
neutral,"Also , Technopolis plans to build a 100 million euro technology park at the special economic zone Neudorf in St. Petersburg , the St. Petersburg government said in February ."
positive,It is now the leading private road ambulance service company in Finland .
neutral,"The offer price is $ 35 million , including cash of $ 10 million as net debt assumption of FACE , and $ 20 million worth of Cencorp shares to be issued to Savcor ."
neutral,Implementation of the project will be carried out by the Finnish company YIT in association with the investment fund Evli Property Investment Russia ( EPI ) .
positive,"For Teleste , the acquisition marks an entry into services business in a market where it has long been an established and significant supplier of products ."
neutral,"The firm is headquartered in Vantaa , southern Finland and has 16 employees ."
positive,"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services ."
neutral,"Sonoco Products Co. , a U.S. packaging company , said Friday it bought the 75 percent of Italy 's Demolli Industria Cartaria SpA it did not already own ."
positive,"According to HKScan Finland , the plan is to increase J+Ærvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn ."
neutral,The StoneGate product is centrally manageable and suited for both physical and virtual environments .
neutral,"Due to Pirkka beer , Olvi 's brewery in Iisalmi is moving to 7-day , 24-hour work shifts ."
neutral,"The payment date is March 25 , 2010 ."
neutral,The company reported net sales of 302 mln euro $ 441.6 mln and an operating margin of 16 pct in 2006 .
positive,"`` We are proud to welcome another distribution facility to north Mississippi and the region known as the logistics center of the United States , '' said Gray Swoope , executive director of MDA ."
neutral,Also the traditional grapevine carries a lot of weight .
neutral,"In 2006 the company 's net sales amounted to approximately EUR259m and it has some 8,000 employees ."
neutral,Customers in a wide range of industries use our stainless steel and services worldwide .
neutral,"The engine has an electrical output of 18,321 kW , making it the largest gas powered generating set in the world ."
neutral,No financial details were disclosed .
neutral,"The business units of the InvestLesProm Group cover the full forest industry chain , and the Group owns forests , sawmills , paper and pulp mills , and other processing plants ."
neutral,"There will be return flights from Stuttgart every morning , as well as evening departures on Thursdays , Fridays and Sundays ."
neutral,Terms of the acquisition were not disclosed .
neutral,"M-real generated a turnover of EUR5 .6 bn in 2006 and has 15,500 employees ."
neutral,"AHMS will also offer Hotel and Hotel Project Consultancy , Management Services , Brand Franchise , Training and Sales and Marketing services on a pan-India basis ."
neutral,"Under a preliminary estimation , the technology park will measure about 50,000 square meters ."
